"","unit","playerCount","task","complexity","default_duration","stageId","data.playerIds","score","duration","efficiency"
"2108","3","1","Word Construction","Low",3,"DYgRqJetQ6xeSpPvF","ubcdRpd9dNPABqKBr",12.962962962963,2.88333333333333,4.49582530507386
"2109","3","1","Word Construction","Medium",3,"EjffgxfAiGG66eghD","ubcdRpd9dNPABqKBr",23.2142857142857,2.8,8.29081632653061
"2110","3","6","Sudoku","Low",5,"8jmNBQJqMgBNqyd5i","6wTFqHjZ2gMf7CfzJ,JvmBo9gFAGtyR3Sev,fZz8PkXfFshJerpAL,g5MBgpexCmbeAJynQ,k5irXjJeSCRx68hNS,s7ht4k6o5x6JXicYY",100,1.53333333333333,65.2173913043478
"2111","3","6","Guess the Correlation","Medium",2,"xyrkoxMvtB9N3YoFt","6wTFqHjZ2gMf7CfzJ,JvmBo9gFAGtyR3Sev,fZz8PkXfFshJerpAL,g5MBgpexCmbeAJynQ,k5irXjJeSCRx68hNS,s7ht4k6o5x6JXicYY",100,1.83333333333333,54.5454545454545
"2112","3","1","Sudoku","Medium",5,"YpRZMpSp6x4HQpx6e","AjuG8X2S79WK4yvYW",57.5,5.01523333333333,11.465069754149
"2113","3","1","Sudoku","Low",5,"33ePvQ9BNHjPWDYHD","AjuG8X2S79WK4yvYW",100,2.5,40
"2114","3","1","Sudoku","High",5,"tQQZdJB3mMSouqeYQ","AjuG8X2S79WK4yvYW",49,4.53333333333333,10.8088235294118
"2115","3","1","Guess the Correlation","High",2,"vJMixfB2rFe2c7WA3","AjuG8X2S79WK4yvYW",92,0.2,460
"2116","3","1","Guess the Correlation","Low",2,"onc7axmA6pDQ9EhjD","AjuG8X2S79WK4yvYW",0,0.0166666666666667,0
"2117","3","1","Guess the Correlation","Medium",2,"HsCauBeJs2XwG3cgJ","AjuG8X2S79WK4yvYW",94,0.6,156.666666666667
"2118","3","1","Allocating Resources","High",3,"6TTCHuYJ9r8sEfRTa","AjuG8X2S79WK4yvYW",80,2.96666666666667,26.9662921348315
"2119","3","1","Allocating Resources","Medium",3,"eNkhD9Qevbw24cgEf","AjuG8X2S79WK4yvYW",0,2.9,0
"2120","3","1","Allocating Resources","Low",3,"kkMvsWNqBhdQvzsqi","AjuG8X2S79WK4yvYW",0,1.63333333333333,0
"2121","3","1","Word Construction","High",3,"PJMem8CRhmGCdJwgw","AjuG8X2S79WK4yvYW",16.1764705882353,3.01688333333333,5.3619808262065
"2122","3","1","Word Construction","Medium",3,"4gdyJCdAjYgwLYhRd","AjuG8X2S79WK4yvYW",37.5,3.02716666666667,12.387821395144
"2123","3","1","Word Construction","Low",3,"CsZC8YFfoudBXF4sT","AjuG8X2S79WK4yvYW",37.037037037037,3.0206,12.2614834923648
"2124","3","1","Divergent Association","High",3,"xp2KD6QpBNQPokRYr","M86R6cQtenSxzCPWm",94.3966450612491,3.0077,31.3849935370047
"2125","3","1","Divergent Association","Medium",3,"qx3jgF5KgGYDptuJN","M86R6cQtenSxzCPWm",95.051270500607,3.02011666666667,31.472714795987
"2126","3","1","Divergent Association","Low",3,"QvJ67PADGC8z5wtyu","M86R6cQtenSxzCPWm",89.121206255186,2.91666666666667,30.5558421446352
"2127","3","1","Sudoku","High",5,"qhPokAgXbwEk6Cx5k","M86R6cQtenSxzCPWm",48,5.01586666666667,9.56963236662325
"2128","3","1","Sudoku","Low",5,"K35nWfnxAKgubWJo5","M86R6cQtenSxzCPWm",100,2.98333333333333,33.5195530726257
"2129","3","1","Sudoku","Medium",5,"6PfGfxcDMDnnPEWim","M86R6cQtenSxzCPWm",50,5.0207,9.95877068934611
"2130","3","1","Guess the Correlation","High",2,"tR3wFTHYhG9gr2ou3","M86R6cQtenSxzCPWm",93,0.45,206.666666666667
"2131","3","1","Guess the Correlation","Low",2,"AjP5ByC7aRPN2K9AP","M86R6cQtenSxzCPWm",97,0.25,388
"2132","3","1","Guess the Correlation","Medium",2,"LkhAwqe74RmskADn9","M86R6cQtenSxzCPWm",92,0.516666666666667,178.064516129032
"2133","3","1","Allocating Resources","High",3,"GyoZ42hENBJHgiHtk","M86R6cQtenSxzCPWm",90,2.65,33.9622641509434
"2134","3","1","Allocating Resources","Medium",3,"A7vHkLFKDyrL2iTAX","M86R6cQtenSxzCPWm",100,2.76666666666667,36.144578313253
"2135","3","1","Allocating Resources","Low",3,"4d6w4WfLfuGNfybS6","M86R6cQtenSxzCPWm",100,1.7,58.8235294117647
"2136","3","1","Word Construction","High",3,"d6TYXmttXtPH5SqaG","M86R6cQtenSxzCPWm",35.2941176470588,3.01986666666667,11.6873099188901
"2137","3","1","Word Construction","Low",3,"gPmZCcKnp6w7TTXtq","M86R6cQtenSxzCPWm",27.7777777777778,3.0106,9.22665839958074
"2138","3","1","Word Construction","Medium",3,"Jeetp8PF69vsxFYFM","M86R6cQtenSxzCPWm",39.2857142857143,3.02653333333333,12.9804333734022
